ANIO_REGISTRO,MES_REGISTRO,TIPO_ACTA,DE_GENERO,DEPART_CIUDAD_ESTADO_DOM_SOL,PROVINCIA_DOM_SOL,CANT_COPIAS_EMITIDAS
2022,FEBRERO,DEFUNCION,FEMENINO,AMAZONAS,BAGUA,14
2022,FEBRERO,DEFUNCION,FEMENINO,AMAZONAS,BONGARA,12
2022,FEBRERO,DEFUNCION,FEMENINO,AMAZONAS,CHACHAPOYAS,4
2022,FEBRERO,DEFUNCION,FEMENINO,AMAZONAS,LUYA,3
2022,FEBRERO,DEFUNCION,FEMENINO,AMAZONAS,RODRIGUEZ DE MENDOZA,2
2022,FEBRERO,DEFUNCION,FEMENINO,AMAZONAS,UTCUBAMBA,6
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,AIJA,1
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,ANTONIO RAIMONDI,1
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,ASUNCION,2
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,BOLOGNESI,1
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,CARHUAZ,10
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,CASMA,11
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,CORONGO,1
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,HUARAZ,34
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,HUARI,8
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,HUARMEY,4
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,HUAYLAS,12
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,MARISCAL LUZURIAGA,1
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,PALLASCA,2
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,POMABAMBA,1
2022,FEBRERO,DEFUNCION,FEMENINO,ANCASH,RECUAY,5
